access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,131799.9792,8267.4662,0.1803,131072.0000,16384.0000,0.0086,1.4863,0.0603,1.4917,48,0
read,31132.0469,1947.0154,0.7428,131072.0000,16384.0000,0.0082,6.3112,1.1601,6.3153,48,0
write,125416.0676,7855.7625,0.1883,131072.0000,16384.0000,0.0067,1.5642,0.0830,1.5676,48,1
read,34260.5071,2142.6509,0.5824,131072.0000,16384.0000,0.0073,5.7350,1.3999,5.7386,48,1
write,124355.3977,7788.8289,0.1823,131072.0000,16384.0000,0.0065,1.5776,0.1194,1.5810,48,2
read,35505.8311,2220.5441,0.5282,131072.0000,16384.0000,0.0071,5.5338,1.3987,5.5373,48,2
write,123748.7156,7751.5234,0.1945,131072.0000,16384.0000,0.0068,1.5852,0.1113,1.5888,48,3
read,35615.4301,2227.3987,0.6455,131072.0000,16384.0000,0.0070,5.5167,1.1159,5.5203,48,3
write,125820.3462,7881.1114,0.1889,131072.0000,16384.0000,0.0067,1.5592,0.1106,1.5626,48,4
read,30985.3650,1937.7333,0.7538,131072.0000,16384.0000,0.0074,6.3414,1.5777,6.3452,48,4
