access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,3443.7335,220420.4251,0.0046,131072.0000,16.0000,0.0068,38.0573,0.4132,38.0610,32,0
read,3481.9908,222866.8037,0.0046,131072.0000,16.0000,0.0065,37.6396,0.2660,37.6428,32,0
write,3432.4259,219695.5001,0.0046,131072.0000,16.0000,0.0069,38.1829,0.3173,38.1864,32,1
read,3464.5149,221748.8155,0.0046,131072.0000,16.0000,0.0066,37.8293,0.3074,37.8327,32,1
write,3504.3533,224298.9437,0.0046,131072.0000,16.0000,0.0065,37.3992,0.2841,37.4026,32,2
read,3572.3473,228650.6584,0.0045,131072.0000,16.0000,0.0064,36.6874,0.2882,36.6907,32,2
write,3504.6442,224317.2021,0.0046,131072.0000,16.0000,0.0064,37.3962,0.2894,37.3995,32,3
read,3581.5890,229241.7729,0.0045,131072.0000,16.0000,0.0063,36.5928,0.2691,36.5960,32,3
write,1598.1215,102284.0115,0.0060,131072.0000,16.0000,0.0065,82.0129,35.9690,82.0163,32,4
read,3503.8975,224268.9414,0.0046,131072.0000,16.0000,0.0064,37.4042,0.2710,37.4075,32,4
