access,IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter,nnodes,seg,bw(GiB/s)
write,291782.3135,0.0044,131072.0,16.0,0.0093,35.9369,0.2878,35.9431,40,0,1,32,4.45148037109375
write,290846.2668,0.0044,131072.0,16.0,0.0066,36.0526,0.2654,36.056,40,1,1,32,4.43754765625
write,290989.3045,0.0044,131072.0,16.0,0.0062,36.0349,0.2156,36.038,40,2,1,32,4.4397572265625
write,291416.975,0.0044,131072.0,16.0,0.0059,35.982,0.265,35.985,40,3,1,32,4.44629423828125
write,291094.7885,0.0044,131072.0,16.0,0.006,36.0218,0.2508,36.0249,40,4,1,32,4.4413712890625
write,314175.0008,0.0087,131072.0,16.0,0.0264,73.4262,37.1811,73.4333,88,0,1,32,4.79346259765625
write,318428.0451,0.0088,131072.0,16.0,0.0231,72.4455,36.3304,72.4487,88,1,1,32,4.858610546875
write,322452.1854,0.0087,131072.0,16.0,0.0303,71.5414,36.4855,71.5447,88,2,1,32,4.9200015625
write,321983.2656,0.0087,131072.0,16.0,0.0222,71.6456,36.6047,71.6487,88,3,1,32,4.9128580078125
write,322468.0183,0.0087,131072.0,16.0,0.0251,71.5379,36.4808,71.5412,88,4,1,32,4.9202431640625
write,314621.1899,0.0048,131072.0,16.0,0.0085,39.9938,0.3999,39.9994,48,0,1,32,4.80006962890625
write,217656.7661,0.007,131072.0,16.0,0.0063,57.8108,0.4267,57.814,48,1,1,32,3.32099560546875
write,346340.3292,0.0044,131072.0,16.0,0.0062,36.3311,0.4938,36.3341,48,2,1,32,5.28428837890625
write,347415.9784,0.0044,131072.0,16.0,0.006,36.2186,0.5448,36.2216,48,3,1,32,5.30070869140625
write,341631.5366,0.0044,131072.0,16.0,0.006,36.8318,1.1096,36.8349,48,4,1,32,5.212442578125
write,283119.2399,0.0087,131072.0,16.0,0.0299,74.0731,37.6988,74.0806,80,0,1,32,4.31962158203125
write,288250.19,0.0088,131072.0,16.0,0.0223,72.7546,36.5042,72.7578,80,1,1,32,4.39815517578125
write,291070.0222,0.0088,131072.0,16.0,0.0226,72.0497,36.8577,72.053,80,2,1,32,4.44117626953125
write,291978.6968,0.0088,131072.0,16.0,0.0223,71.8255,36.6331,71.8287,80,3,1,32,4.45504443359375
write,292152.2913,0.0087,131072.0,16.0,0.0256,71.7828,36.5781,71.7859,80,4,1,32,4.45770087890625
write,260217.3799,0.0088,131072.0,16.0,0.0266,72.5331,36.7595,72.5406,72,0,1,32,3.97019091796875
write,261669.8219,0.0088,131072.0,16.0,0.0273,72.1305,36.778,72.1338,72,1,1,32,3.992579296875
write,261395.816,0.0087,131072.0,16.0,0.0229,72.2061,36.8498,72.2093,72,2,1,32,3.988405859375
write,261552.6875,0.0087,131072.0,16.0,0.0223,72.1628,36.7813,72.1659,72,3,1,32,3.99080546875
write,261654.9523,0.0087,131072.0,16.0,0.0191,72.1346,36.8505,72.1378,72,4,1,32,3.99235869140625
write,344218.0642,0.0089,131072.0,16.0,0.0264,73.1101,3.5676,73.1175,96,0,1,32,5.251818359375
write,348965.7134,0.0088,131072.0,16.0,0.0353,72.1155,2.08,72.1186,96,1,1,32,5.32456181640625
write,352214.0622,0.0087,131072.0,16.0,0.035,71.4504,1.351,71.4535,96,2,1,32,5.37412294921875
write,351315.0842,0.0087,131072.0,16.0,0.0349,71.6332,1.5965,71.6363,96,3,1,32,5.3604119140625
write,353087.9262,0.0086,131072.0,16.0,0.0222,71.2735,1.0771,71.2767,96,4,1,32,5.38745673828125
write,229475.2162,0.0088,131072.0,16.0,0.0188,73.1112,37.5067,73.1146,64,0,1,32,3.5013521484375
write,230173.9563,0.0088,131072.0,16.0,0.0194,72.8893,37.4218,72.8927,64,1,1,32,3.5120119140625
write,229969.351,0.0088,131072.0,16.0,0.0192,72.9541,37.5254,72.9573,64,2,1,32,3.50889970703125
write,230675.4403,0.0088,131072.0,16.0,0.0224,72.7308,37.249,72.7339,64,3,1,32,3.51967734375
write,230221.7124,0.0088,131072.0,16.0,0.0222,72.8742,37.4471,72.8774,64,4,1,32,3.5127501953125
write,200481.2729,0.0088,131072.0,16.0,0.0272,73.2241,37.5372,73.2315,56,0,1,32,3.05879287109375
write,199298.4052,0.0089,131072.0,16.0,0.0213,73.6587,38.1368,73.662,56,1,1,32,3.04091748046875
write,199569.3725,0.0089,131072.0,16.0,0.0193,73.5587,38.1056,73.562,56,2,1,32,3.0450505859375
write,199645.1422,0.0089,131072.0,16.0,0.022,73.5308,38.051,73.5338,56,3,1,32,3.04621689453125
write,199376.3347,0.0089,131072.0,16.0,0.0253,73.6299,38.105,73.6333,56,4,1,32,3.04210380859375
write,232638.412,0.0044,131072.0,16.0,0.0068,36.0586,0.2531,36.0622,32,0,1,32,3.5494205078125
write,231735.4502,0.0044,131072.0,16.0,0.0066,36.1991,0.2674,36.2024,32,1,1,32,3.53567353515625
write,231660.5431,0.0044,131072.0,16.0,0.0063,36.2108,0.2589,36.214,32,2,1,32,3.534548046875
write,231987.5151,0.0044,131072.0,16.0,0.0061,36.1597,0.2558,36.1628,32,3,1,32,3.53954658203125
write,231807.64,0.0044,131072.0,16.0,0.006,36.1878,0.2657,36.1908,32,4,1,32,3.5368080078125
write,55474.5923,0.0046,131072.0,16.0,0.0072,37.8038,0.1325,37.8081,8,0,1,32,0.8463796875
write,56523.6762,0.0045,131072.0,16.0,0.0058,37.1022,0.132,37.1051,8,1,1,32,0.862414453125
write,56682.5765,0.0045,131072.0,16.0,0.0062,36.9982,0.117,37.0013,8,2,1,32,0.86483427734375
write,56692.3512,0.0045,131072.0,16.0,0.0061,36.9918,0.1042,36.9949,8,3,1,32,0.86498505859375
write,56667.1135,0.0045,131072.0,16.0,0.0061,37.0083,0.1049,37.0114,8,4,1,32,0.86459755859375
write,173824.2227,0.0044,131072.0,16.0,0.0064,36.1944,0.2048,36.1978,24,0,1,32,2.65209609375
write,174053.4661,0.0044,131072.0,16.0,0.0059,36.1467,0.2293,36.1497,24,1,1,32,2.6556240234375
write,174098.7896,0.0044,131072.0,16.0,0.0066,36.1373,0.2374,36.1407,24,2,1,32,2.656285546875
write,173902.5836,0.0044,131072.0,16.0,0.0057,36.178,0.2525,36.181,24,3,1,32,2.6533294921875
write,173764.8559,0.0044,131072.0,16.0,0.0062,36.2067,0.2797,36.2099,24,4,1,32,2.65120849609375
write,115122.7223,0.0044,131072.0,16.0,0.0063,36.4333,0.16,36.4367,16,0,1,32,1.7564703125
write,115438.5221,0.0044,131072.0,16.0,0.006,36.3337,0.164,36.3367,16,1,1,32,1.76130439453125
write,115478.9465,0.0044,131072.0,16.0,0.0059,36.3209,0.1754,36.3239,16,2,1,32,1.76192412109375
write,115152.6655,0.0044,131072.0,16.0,0.0062,36.4239,0.2109,36.427,16,3,1,32,1.7569388671875
write,115273.3325,0.0044,131072.0,16.0,0.0062,36.3857,0.1442,36.3888,16,4,1,32,1.75878056640625
write,18692.7074,0.0135,131072.0,1024.0,0.0063,1.753,0.0763,1.7564,8,0,1,32,18.21951865234375
write,19129.1006,0.0132,131072.0,1024.0,0.006,1.713,0.0505,1.7161,8,1,1,32,18.64673798828125
write,19453.9014,0.0129,131072.0,1024.0,0.006,1.6844,0.0464,1.6875,8,2,1,32,18.962794140625
write,19477.3215,0.0129,131072.0,1024.0,0.006,1.6824,0.0333,1.6855,8,3,1,32,18.98543037109375
write,19568.5815,0.0128,131072.0,1024.0,0.0058,1.6745,0.0411,1.6775,8,4,1,32,19.075550390625
write,107201.6269,0.014,131072.0,1024.0,0.0066,1.834,0.0741,1.8376,48,0,1,32,104.482510546875
write,110678.1411,0.0135,131072.0,1024.0,0.0062,1.7764,0.0491,1.7795,48,1,1,32,107.8945072265625
write,108863.4859,0.0138,131072.0,1024.0,0.0063,1.806,0.0451,1.8092,48,2,1,32,106.12173369140625
write,110923.1155,0.0136,131072.0,1024.0,0.0061,1.7725,0.0515,1.7756,48,3,1,32,108.131855078125
write,100307.3348,0.0152,131072.0,1024.0,0.0065,1.9601,0.0321,1.9634,48,4,1,32,97.7909912109375
write,80544.8973,0.0125,131072.0,1024.0,0.0067,1.6273,0.0394,1.631,32,0,1,32,78.48018115234375
write,80475.1687,0.0125,131072.0,1024.0,0.0059,1.6287,0.0447,1.6318,32,1,1,32,78.44333798828124
write,79341.109,0.0126,131072.0,1024.0,0.006,1.652,0.0657,1.6551,32,2,1,32,77.33779248046875
write,81369.2406,0.0125,131072.0,1024.0,0.006,1.6108,0.0365,1.614,32,3,1,32,79.3076845703125
write,77894.8802,0.0129,131072.0,1024.0,0.0061,1.6827,0.0674,1.6858,32,4,1,32,75.92703994140625
write,52261.4186,0.0371,131072.0,1024.0,0.0615,5.016,3.3178,5.0195,64,0,1,32,51.00143232421875
write,62463.6486,0.0316,131072.0,1024.0,0.0153,4.1967,2.4746,4.2,64,1,1,32,60.952684765625
write,61670.5969,0.0313,131072.0,1024.0,0.0137,4.2507,2.5636,4.2539,64,2,1,32,60.18021103515625
write,61540.3833,0.0303,131072.0,1024.0,0.0506,4.2597,2.5777,4.2631,64,3,1,32,60.049930859375
write,60991.8613,0.0322,131072.0,1024.0,0.0466,4.298,2.5877,4.3013,64,4,1,32,59.51712705078125
write,45032.296,0.0363,131072.0,1024.0,0.0414,5.0936,3.4061,5.097,56,0,1,32,43.94781572265625
write,46987.6787,0.0367,131072.0,1024.0,0.0823,4.8816,2.8049,4.8848,56,1,1,32,45.8564140625
write,54309.9739,0.0309,131072.0,1024.0,0.0141,4.2235,2.5319,4.2265,56,2,1,32,52.99842060546875
write,52266.0979,0.033,131072.0,1024.0,0.0814,4.3886,2.672,4.3918,56,3,1,32,51.0044578125
write,50375.2502,0.0326,131072.0,1024.0,0.1021,4.5533,2.745,4.5565,56,4,1,32,49.16027021484375
write,67713.5613,0.0338,131072.0,1024.0,0.0304,4.8392,2.8681,4.8464,80,0,1,32,66.0287751953125
write,77710.8295,0.0301,131072.0,1024.0,0.0189,4.2167,2.5644,4.2202,80,1,1,32,75.82654306640624
write,81579.265,0.0298,131072.0,1024.0,0.0155,4.0167,2.3659,4.02,80,2,1,32,79.60109814453125
write,80897.699,0.0291,131072.0,1024.0,0.0186,4.0505,2.3994,4.0539,80,3,1,32,78.9363142578125
write,77149.429,0.0299,131072.0,1024.0,0.0146,4.2473,2.5554,4.2506,80,4,1,32,75.283563671875
write,76232.1941,0.0334,131072.0,1024.0,0.0184,4.7283,2.7415,4.7319,88,0,1,32,74.3887724609375
write,69142.6707,0.0299,131072.0,1024.0,0.0146,5.2131,3.5476,5.2163,88,1,1,32,67.48100029296874
write,86782.1671,0.0298,131072.0,1024.0,0.0122,4.1535,2.4722,4.1568,88,2,1,32,84.68141650390625
write,89811.9579,0.0295,131072.0,1024.0,0.0138,4.0134,2.3441,4.0165,88,3,1,32,87.6393861328125
write,87453.3725,0.0303,131072.0,1024.0,0.0254,4.1216,2.3831,4.1248,88,4,1,32,85.3370966796875
write,59584.9284,0.0123,131072.0,1024.0,0.0066,1.6498,0.0896,1.6534,24,0,1,32,58.06080380859375
write,57767.7024,0.0128,131072.0,1024.0,0.006,1.7017,0.0816,1.7049,24,1,1,32,56.30990126953125
write,60783.9856,0.0124,131072.0,1024.0,0.006,1.6173,0.0444,1.6204,24,2,1,32,59.24558291015625
write,61396.0715,0.0123,131072.0,1024.0,0.0059,1.6011,0.044,1.6042,24,3,1,32,59.8429166015625
write,60262.0672,0.0126,131072.0,1024.0,0.0061,1.6313,0.0445,1.6344,24,4,1,32,58.736392578125
write,62158.8798,0.035,131072.0,1024.0,0.0167,4.7445,2.795,4.748,72,0,1,32,60.65754033203125
write,71774.9482,0.0309,131072.0,1024.0,0.022,4.1088,2.4652,4.1121,72,1,1,32,70.03766806640625
write,73275.907,0.0301,131072.0,1024.0,0.0166,4.0247,2.349,4.0279,72,2,1,32,71.50097841796875
write,71766.757,0.03,131072.0,1024.0,0.0153,4.1093,2.4638,4.1126,72,3,1,32,70.02818330078125
write,76617.6924,0.0296,131072.0,1024.0,0.0176,3.8491,2.0982,3.8523,72,4,1,32,74.76125126953124
write,37383.1573,0.0126,131072.0,1024.0,0.0062,1.7531,0.1671,1.7565,16,0,1,32,36.4367373046875
write,38775.4147,0.0128,131072.0,1024.0,0.006,1.6901,0.0571,1.6932,16,1,1,32,37.79766923828125
write,39718.7913,0.0125,131072.0,1024.0,0.0059,1.65,0.0739,1.653,16,2,1,32,38.71640849609375
write,39956.2215,0.0123,131072.0,1024.0,0.006,1.6402,0.0677,1.6433,16,3,1,32,38.9460501953125
write,39706.995,0.0124,131072.0,1024.0,0.0058,1.6505,0.0641,1.6535,16,4,1,32,38.70615322265625
write,96400.452,0.0131,131072.0,1024.0,0.0066,1.6996,0.0555,1.7032,40,0,1,32,93.94203466796876
write,97973.0833,0.0129,131072.0,1024.0,0.0061,1.6723,0.0508,1.6754,40,1,1,32,95.49843955078126
write,96903.2284,0.0129,131072.0,1024.0,0.0063,1.6908,0.0526,1.694,40,2,1,32,94.44972705078125
write,97225.2488,0.0129,131072.0,1024.0,0.0063,1.6852,0.0456,1.6884,40,3,1,32,94.76241220703125
write,90969.2559,0.0138,131072.0,1024.0,0.0057,1.801,0.051,1.804,40,4,1,32,88.69100380859375
write,55467.0957,0.0357,131072.0,1024.0,0.0278,7.0892,4.6277,7.0965,96,0,1,32,54.11128212890625
write,86743.117,0.0331,131072.0,1024.0,0.0205,4.5331,0.8055,4.5363,96,1,1,32,84.6501890625
write,82284.0176,0.0325,131072.0,1024.0,0.0193,4.7788,1.0949,4.7821,96,2,1,32,80.299955078125
write,65212.0906,0.0326,131072.0,1024.0,0.0153,6.0298,3.3935,6.0331,96,3,1,32,63.649145703125
write,85161.4574,0.0344,131072.0,1024.0,0.0181,4.6173,0.8522,4.6206,96,4,1,32,83.1065578125
write,30392.3053,0.0583,131072.0,2048.0,0.0302,6.469,3.8018,6.4767,96,0,1,32,59.289515625
write,42650.0982,0.0535,131072.0,2048.0,0.0208,4.6098,1.705,4.613,96,1,1,32,83.24214130859374
write,32237.3621,0.0545,131072.0,2048.0,0.0156,6.0988,3.5435,6.1021,96,2,1,32,62.9286599609375
write,40726.5767,0.0552,131072.0,2048.0,0.018,4.8275,1.7546,4.8307,96,3,1,32,79.4917982421875
write,53655.8444,0.0544,131072.0,2048.0,0.0181,3.6642,0.3498,3.6675,96,4,1,32,104.7047896484375
write,42996.1679,0.0282,131072.0,2048.0,0.007,1.9053,0.3634,1.909,40,0,1,32,83.8135603515625
write,46070.3519,0.0268,131072.0,2048.0,0.006,1.7782,0.2023,1.7812,40,1,1,32,89.82497021484374
write,46621.8487,0.0268,131072.0,2048.0,0.006,1.7571,0.1743,1.7603,40,2,1,32,90.89426650390625
write,46623.5188,0.0268,131072.0,2048.0,0.006,1.7571,0.1478,1.7602,40,3,1,32,90.89643330078125
write,47433.9807,0.0267,131072.0,2048.0,0.0062,1.727,0.1199,1.7303,40,4,1,32,92.47057421875
write,19886.0757,0.0257,131072.0,2048.0,0.0065,1.6478,0.2286,1.6513,16,0,1,32,38.7583734375
write,21916.8409,0.0227,131072.0,2048.0,0.0062,1.4951,0.1037,1.4983,16,1,1,32,42.715333203125
write,22807.3449,0.0222,131072.0,2048.0,0.0057,1.4367,0.0482,1.4397,16,2,1,32,44.45432744140625
write,22744.9274,0.0222,131072.0,2048.0,0.0059,1.4407,0.048,1.4438,16,3,1,32,44.328575390625
write,22026.5076,0.0231,131072.0,2048.0,0.0058,1.4877,0.0388,1.4907,16,4,1,32,42.9328501953125
write,42418.4904,0.0504,131072.0,2048.0,0.0224,3.4762,1.5245,3.4839,72,0,1,32,82.66685302734375
write,33663.9458,0.049,131072.0,2048.0,0.016,4.3802,2.4883,4.3834,72,1,1,32,65.70180869140626
write,35587.1326,0.0473,131072.0,2048.0,0.0154,4.1435,2.3534,4.1468,72,2,1,32,69.45033974609375
write,43958.9647,0.0469,131072.0,2048.0,0.0149,3.3544,1.5696,3.3576,72,3,1,32,85.77486640625
write,40895.0327,0.0484,131072.0,2048.0,0.0147,3.6057,1.7883,3.6089,72,4,1,32,79.803551953125
write,27224.4037,0.0282,131072.0,2048.0,0.0066,1.8054,0.3432,1.8091,24,0,1,32,53.06534921875
write,30070.8836,0.0248,131072.0,2048.0,0.006,1.6345,0.191,1.6376,24,1,1,32,58.62083994140625
write,31687.3586,0.0235,131072.0,2048.0,0.0061,1.5512,0.1108,1.5543,24,2,1,32,61.76230693359375
write,31677.0414,0.0236,131072.0,2048.0,0.0058,1.5517,0.0942,1.5547,24,3,1,32,61.747219140625
write,31743.1211,0.0235,131072.0,2048.0,0.0057,1.5484,0.0841,1.5515,24,4,1,32,61.87748369140625
write,36839.3498,0.054,131072.0,2048.0,0.0209,4.8922,2.7216,4.8961,88,0,1,32,71.89344462890625
write,37207.1747,0.0508,131072.0,2048.0,0.0146,4.8438,2.8146,4.8471,88,1,1,32,72.62075986328125
write,31085.5011,0.0491,131072.0,2048.0,0.0181,5.7977,3.7799,5.8008,88,2,1,32,60.68133935546875
write,26147.4776,0.0496,131072.0,2048.0,0.0184,6.8926,4.8157,6.8957,88,3,1,32,51.04596376953125
write,48371.3356,0.0538,131072.0,2048.0,0.017,3.7258,1.6529,3.729,88,4,1,32,94.3941916015625
write,46268.3203,0.0533,131072.0,2048.0,0.0204,3.5411,1.4686,3.5449,80,0,1,32,90.2705310546875
write,47702.7214,0.0507,131072.0,2048.0,0.0154,3.4346,1.5145,3.4378,80,1,1,32,93.0814833984375
write,32639.5958,0.0507,131072.0,2048.0,0.0147,5.0197,3.2003,5.0229,80,2,1,32,63.7083541015625
write,33771.264,0.05,131072.0,2048.0,0.0176,4.8515,3.0367,4.8547,80,3,1,32,65.915506640625
write,47218.6718,0.0503,131072.0,2048.0,0.0181,3.4698,1.5445,3.473,80,4,1,32,92.13999833984376
write,33449.608,0.0505,131072.0,2048.0,0.0223,3.4287,1.6006,3.4364,56,0,1,32,65.18370068359376
write,34243.3696,0.0486,131072.0,2048.0,0.0389,3.3492,1.569,3.3524,56,1,1,32,66.81690751953126
write,34812.1093,0.0486,131072.0,2048.0,0.0546,3.2945,1.5053,3.2976,56,2,1,32,67.92717783203125
write,34683.3239,0.0479,131072.0,2048.0,0.0508,3.3067,1.5598,3.3101,56,3,1,32,67.67140673828125
write,34612.3417,0.0485,131072.0,2048.0,0.0958,3.3135,1.5264,3.3168,56,4,1,32,67.53578662109375
write,36634.3515,0.0519,131072.0,2048.0,0.0192,3.5778,1.6697,3.5815,64,0,1,32,71.4780681640625
write,39587.1041,0.0475,131072.0,2048.0,0.0131,3.311,1.5249,3.3142,64,1,1,32,77.24330654296875
write,39900.9186,0.0469,131072.0,2048.0,0.0152,3.2849,1.4859,3.2881,64,2,1,32,77.8558296875
write,40066.5673,0.0469,131072.0,2048.0,0.0135,3.2714,1.4165,3.2748,64,3,1,32,78.17256904296875
write,38822.0682,0.048,131072.0,2048.0,0.0706,3.3762,1.5087,3.3795,64,4,1,32,75.75196962890625
write,43110.0063,0.0303,131072.0,2048.0,0.0066,2.2803,0.5544,2.2839,48,0,1,32,84.06757841796875
write,50337.7805,0.0295,131072.0,2048.0,0.0062,1.9529,0.2337,1.956,48,1,1,32,98.1577458984375
write,50127.6861,0.0288,131072.0,2048.0,0.0062,1.9611,0.243,1.9643,48,2,1,32,97.74370380859375
write,50590.1257,0.0291,131072.0,2048.0,0.006,1.9431,0.1505,1.9462,48,3,1,32,98.65211240234375
write,52267.7562,0.0284,131072.0,2048.0,0.006,1.8808,0.1218,1.884,48,4,1,32,101.9128751953125
write,35393.1475,0.0261,131072.0,2048.0,0.0069,1.8517,0.3782,1.8554,32,0,1,32,68.9866283203125
write,38790.9553,0.0241,131072.0,2048.0,0.006,1.6895,0.1619,1.6926,32,1,1,32,75.62460048828125
write,39117.4913,0.0239,131072.0,2048.0,0.0059,1.6754,0.1696,1.6785,32,2,1,32,76.2607876953125
write,39046.9654,0.025,131072.0,2048.0,0.0056,1.6784,0.1469,1.6813,32,3,1,32,76.13192451171875
write,39464.1612,0.0242,131072.0,2048.0,0.006,1.6606,0.1125,1.6637,32,4,1,32,76.9348591796875
write,10796.2137,0.0237,131072.0,2048.0,0.0065,1.5176,0.0656,1.521,8,0,1,32,21.0383759765625
write,11348.8856,0.0219,131072.0,2048.0,0.0058,1.4437,0.0531,1.4467,8,1,1,32,22.1196435546875
write,11481.8628,0.0218,131072.0,2048.0,0.006,1.4269,0.0447,1.4301,8,2,1,32,22.376058203125
write,11371.1276,0.0225,131072.0,2048.0,0.0059,1.4408,0.0175,1.4439,8,3,1,32,22.16187587890625
write,11641.207,0.0219,131072.0,2048.0,0.006,1.4074,0.0167,1.4105,8,4,1,32,22.68634541015625
write,9497.242,0.1384,131072.0,8192.0,0.0325,3.8815,2.1534,3.9013,72,0,1,32,73.82064072265625
write,10057.0295,0.1364,131072.0,8192.0,0.0157,3.6655,2.3453,3.6687,72,1,1,32,78.50228427734375
write,9990.9913,0.1439,131072.0,8192.0,0.0134,3.6897,2.1762,3.693,72,2,1,32,77.98622197265625
write,9986.0111,0.1385,131072.0,8192.0,0.0157,3.6916,2.2058,3.6948,72,3,1,32,77.947724609375
write,10338.3701,0.1381,131072.0,8192.0,0.0158,3.5657,2.2563,3.569,72,4,1,32,80.69568642578125
write,13410.3984,0.0553,131072.0,8192.0,0.0069,0.9163,0.035,0.9202,24,0,1,32,104.3296755859375
write,13449.9827,0.0566,131072.0,8192.0,0.0059,0.9136,0.0223,0.9166,24,1,1,32,104.731349609375
write,13515.6077,0.0559,131072.0,8192.0,0.0058,0.9092,0.0251,0.9122,24,2,1,32,105.2435478515625
write,13508.9229,0.0559,131072.0,8192.0,0.0057,0.9096,0.0264,0.9126,24,3,1,32,105.19751953125
write,13512.7835,0.056,131072.0,8192.0,0.0063,0.9094,0.0305,0.9126,24,4,1,32,105.191885546875
write,10514.1883,0.1754,131072.0,8192.0,0.0169,4.2853,2.3831,4.2903,88,0,1,32,82.0460390625
write,11031.1817,0.1709,131072.0,8192.0,0.0153,4.0844,2.0777,4.0878,88,1,1,32,86.109847265625
write,10894.0436,0.1716,131072.0,8192.0,0.0145,4.1358,2.4382,4.139,88,2,1,32,85.0442228515625
write,13598.2154,0.1743,131072.0,8192.0,0.0206,3.3134,1.2182,3.3167,88,3,1,32,106.13096044921875
write,14153.9195,0.1732,131072.0,8192.0,0.0157,3.1833,1.0507,3.1865,88,4,1,32,110.46481103515625
write,15724.2672,0.1892,131072.0,8192.0,0.0265,3.1259,0.138,3.1334,96,0,1,32,122.552534375
write,15632.2906,0.1885,131072.0,8192.0,0.02,3.1443,0.156,3.1474,96,1,1,32,122.00549638671875
